cluster_id,min_latitude,max_latitude,min_longitude,max_longitude,approx_area_km2,approx_diameter,Ice_Stable_percentage,highest_temperature,average_temperature
169,-88.6374,-87.3493,27.2857,63.7887,5136.48,80.87,100.0,68.58,43.36
132,-88.1035,-86.8624,-17.8828,12.6002,4759.48,77.85,100.0,63.7,40.06
208,-83.8746,-82.9124,79.5103,95.4572,3273.52,64.56,100.0,69.6,49.1
226,-87.6271,-86.6267,74.1331,94.2282,3132.0,63.15,100.0,70.5,45.26
268,-88.6938,-87.8421,-161.5026,-122.2834,2500.38,56.42,100.0,82.27,53.57
113,-87.1976,-86.1227,14.0362,34.9058,2278.82,53.87,100.0,62.03,38.46
92,-84.8483,-84.0366,-52.9444,-40.9901,1813.08,48.05,100.0,66.79,47.49
80,-82.043,-81.2985,-57.8018,-51.7161,1347.92,41.43,100.0,85.93,62.3
220,-81.0126,-80.2025,83.9078,87.4628,1209.3,39.24,100.0,85.48,54.5
232,-88.641,-88.0643,-101.5217,-77.5549,1198.28,39.06,100.0,75.37,52.09
254,-88.3503,-87.6447,102.6939,127.5264,1131.0,37.95,100.0,70.83,47.12
359,-84.0112,-83.4489,160.4681,166.2714,950.04,34.78,100.0,81.8,56.44
33,-82.6911,-82.177,-6.809,-0.5821,922.78,34.28,100.0,80.83,56.37
141,-84.8257,-84.1909,57.5748,63.4088,849.12,32.88,100.0,71.65,51.27
244,-89.915,-89.3428,77.2753,178.7812,846.22,32.82,100.0,89.4,54.71
342,-85.3677,-84.6377,-179.939,179.9391,821.28,32.34,100.0,88.93,60.19
65,-84.41,-83.881,3.2192,8.5774,693.1,29.71,100.0,85.1,58.05
136,-83.2228,-82.6819,64.3279,69.8022,682.08,29.47,100.0,79.73,55.14
305,-84.2017,-83.6662,115.2371,121.5871,546.94,26.39,100.0,93.46,62.65
174,-87.8259,-87.1721,-52.3467,-41.8529,535.34,26.11,100.0,81.21,46.88
104,-81.7324,-81.2344,-66.2915,-62.9381,533.02,26.05,100.0,80.42,55.76
138,-85.6498,-84.9904,-55.8558,-49.3369,502.28,25.29,100.0,83.84,47.88
