PSR_id,min_latitude,max_latitude,min_longitude,max_longitude,avg_temp,highest_temp,Ice_Stable_percentage,Approx_area_km2,Approx_diameter_km,Thermal_Stability_Index
214,-89.3904,-88.8651,7.1717,31.6331,37.27,54.17,100,324.8,20.34,16.9
197,-88.642,-88.4402,-31.4728,-23.7494,38.2,59.95,100,69.6,9.41,21.76
113,-87.1976,-86.1227,14.0362,34.9058,38.46,62.03,100,2278.82,53.87,23.57
185,-86.8825,-86.6809,59.3621,62.9586,38.91,66.22,100,122.96,12.51,27.32
281,-88.5976,-88.1562,-178.7885,-171.4164,40.04,56.31,100,104.98,11.56,16.27
132,-88.1035,-86.8624,-17.8828,12.6002,40.06,63.7,100,4759.48,77.85,23.64
155,-87.644,-87.219,-33.2527,-25.6791,40.56,64.98,100,231.42,17.17,24.42
170,-84.5839,-84.2993,-72.6986,-68.7525,40.82,64.93,100,113.68,12.03,24.1
275,-88.5477,-88.0764,144.1278,151.1477,41.03,61.26,100,245.92,17.7,20.23
353,-84.8005,-84.5844,173.9629,176.8135,41.45,61.8,100,143.84,13.53,20.34
292,-86.7317,-86.4599,-122.9477,-121.091,41.52,59.66,100,70.76,9.49,18.15
217,-89.2479,-88.8667,-30.9022,-10.704,41.95,66.43,100,303.34,19.65,24.48
169,-88.6374,-87.3493,27.2857,63.7887,43.36,68.58,100,5136.48,80.87,25.22
273,-88.8933,-88.5526,158.9625,177.0981,44.33,73.6,100,435,23.53,29.26
226,-87.6271,-86.6267,74.1331,94.2282,45.26,70.5,100,3132,63.15,25.24
103,-84.9914,-84.8532,-41.31,-39.3643,45.41,80.25,100,75.4,9.8,34.84
234,-88.4058,-88.1245,77.7594,83.9515,45.71,81.27,100,132.24,12.98,35.56
317,-84.4766,-84.1736,122.9527,124.8,45.77,66.73,100,161.24,14.33,20.97
252,-87.7349,-87.4771,-99.4393,-95.2174,46.12,73.56,100,66.7,9.22,27.44
198,-88.8329,-88.5652,-19.0751,-9.0715,46.17,91.73,100,109.04,11.78,45.56
227,-83.5691,-83.2718,-86.0778,-83.5421,46.45,66.05,100,161.82,14.35,19.6
179,-88.0256,-87.7264,-44.2182,-32.0213,46.79,80.07,100,175.16,14.93,33.28
100,-86.167,-85.7779,-16.4391,-12.2004,46.86,70.43,100,183.86,15.3,23.58
174,-87.8259,-87.1721,-52.3467,-41.8529,46.88,81.21,100,535.34,26.11,34.33
254,-88.3503,-87.6447,102.6939,127.5264,47.12,70.83,100,1131,37.95,23.71
297,-86.3437,-86.2269,-126.5417,-123.6663,47.4,81.7,100,63.22,8.97,34.3
225,-89.2201,-88.8651,-49.9235,-35.0958,47.49,75.18,100,225.62,16.95,27.69
92,-84.8483,-84.0366,-52.9444,-40.9901,47.49,66.79,100,1813.08,48.05,19.3
191,-86.9942,-86.7095,-64.8659,-61.5423,47.76,66.77,100,94.54,10.97,19.01
138,-85.6498,-84.9904,-55.8558,-49.3369,47.88,83.84,100,502.28,25.29,35.95
