PSR_id,min_latitude,max_latitude,min_longitude,max_longitude,avg_temp,highest_temp,Ice_Stable_percentage,Approx_area_km2,Approx_diameter_km,Thermal_Stability_Index
169,-88.6374,-87.3493,27.2857,63.7887,43.36,68.58,100,5136.48,80.87,25.22
132,-88.1035,-86.8624,-17.8828,12.6002,40.06,63.7,100,4759.48,77.85,23.64
208,-83.8746,-82.9124,79.5103,95.4572,49.1,69.6,100,3273.52,64.56,20.5
226,-87.6271,-86.6267,74.1331,94.2282,45.26,70.5,100,3132,63.15,25.24
268,-88.6938,-87.8421,-161.5026,-122.2834,53.57,82.27,100,2500.38,56.42,28.7
113,-87.1976,-86.1227,14.0362,34.9058,38.46,62.03,100,2278.82,53.87,23.57
92,-84.8483,-84.0366,-52.9444,-40.9901,47.49,66.79,100,1813.08,48.05,19.3
80,-82.043,-81.2985,-57.8018,-51.7161,62.3,85.93,100,1347.92,41.43,23.63
220,-81.0126,-80.2025,83.9078,87.4628,54.5,85.48,100,1209.3,39.24,30.98
232,-88.641,-88.0643,-101.5217,-77.5549,52.09,75.37,100,1198.28,39.06,23.28
254,-88.3503,-87.6447,102.6939,127.5264,47.12,70.83,100,1131,37.95,23.71
359,-84.0112,-83.4489,160.4681,166.2714,56.44,81.8,100,950.04,34.78,25.35
33,-82.6911,-82.177,-6.809,-0.5821,56.37,80.83,100,922.78,34.28,24.46
141,-84.8257,-84.1909,57.5748,63.4088,51.27,71.65,100,849.12,32.88,20.38
244,-89.915,-89.3428,77.2753,178.7812,54.71,89.4,100,846.22,32.82,34.69
342,-85.3677,-84.6377,-179.939,179.9391,60.19,88.93,100,821.28,32.34,28.74
65,-84.41,-83.881,3.2192,8.5774,58.05,85.1,100,693.1,29.71,27.04
136,-83.2228,-82.6819,64.3279,69.8022,55.14,79.73,100,682.08,29.47,24.59
305,-84.2017,-83.6662,115.2371,121.5871,62.65,93.46,100,546.94,26.39,30.82
174,-87.8259,-87.1721,-52.3467,-41.8529,46.88,81.21,100,535.34,26.11,34.33
104,-81.7324,-81.2344,-66.2915,-62.9381,55.76,80.42,100,533.02,26.05,24.67
138,-85.6498,-84.9904,-55.8558,-49.3369,47.88,83.84,100,502.28,25.29,35.95
376,-80.5693,-80.1821,133.3891,137.6176,56.01,83.45,100,439.64,23.66,27.44
273,-88.8933,-88.5526,158.9625,177.0981,44.33,73.6,100,435,23.53,29.26
41,-82.1866,-81.7467,23.9301,26.2666,61.21,84.68,100,433.84,23.5,23.47
42,-80.3754,-79.9944,41.1706,43.7017,55.33,79.8,100,421.08,23.15,24.47
358,-83.4607,-83.0271,147.4621,151.5293,59.73,90.03,100,385.7,22.16,30.3
230,-84.3121,-83.934,-92.0746,-85.093,48.73,69.22,100,370.62,21.72,20.48
86,-84.7489,-84.09,-39.7052,-34.9969,49.57,77.97,100,360.76,21.43,28.39
54,-80.9754,-80.5548,44.184,47.2201,59.53,82.99,100,357.86,21.35,23.46
